year,sf_temp,ch_temp,bo_temp,la_temp,global_avg_temp
1986,15.00,10.82,7.84,18.19,8.83
1987,14.95,12.04,7.97,17.48,8.99
1988,15.08,10.86,7.90,17.95,9.20
1989,14.45,9.80,7.51,18.38,8.92
1990,14.73,11.50,9.20,17.64,9.23
1991,14.50,11.58,9.08,17.32,9.18
1992,15.53,10.24,7.40,17.80,8.84
1993,14.97,10.18,7.84,17.31,8.87
1994,14.21,10.56,7.96,18.06,9.04
1995,15.31,10.57,8.13,18.14,9.35
1996,15.56,9.56,7.93,18.77,9.04
1997,15.75,10.14,7.87,18.15,9.20
1998,14.38,12.81,9.63,16.71,9.52
1999,14.41,11.72,9.30,17.87,9.29
2000,15.02,11.09,8.00,18.51,9.20
2001,15.25,11.70,8.91,18.50,9.41
2002,15.00,11.53,9.02,18.20,9.57
2003,15.43,10.48,7.78,18.65,9.53
2004,15.37,10.94,8.09,17.96,9.32
2005,15.17,11.58,8.56,17.95,9.70
2006,15.02,11.87,9.48,18.11,9.53
2007,14.94,11.45,8.36,18.55,9.73
2008,15.05,10.24,8.53,18.10,9.43
2009,15.02,10.30,8.07,18.04,9.51
2010,14.67,11.82,9.58,17.65,9.70
2011,14.50,11.21,9.12,17.35,9.52
2012,15.05,12.82,10.06,18.81,9.51
2013,16.23,11.59,10.38,20.54,9.61
